Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 12:42:50.541092,,"{""recipient_id"": ""92ebdb9e-b06a-44e0-8536-851a8be85f1d"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 12:42:51.005988,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-02-27 12:43:01.419422,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 04:39:39.860807,i want to talk with human,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 04:39:44.989891," Sure, I can help with that. I'll send an email to our support team to get you connected with a human representative.",{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 04:40:42.010399,hello,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 04:40:46.205255, Hi there! How can I assist you today?,{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 04:41:26.606634,can you please approve my ads its under review its been 4 days now,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 04:41:31.972366," I'm sorry to hear that your ads have been under review for so long. Typically, we review ads within 4 hours on weekdays and up to 8 hours on weekends. Let me check the status for you. Could you please provide me with your ad account details or any reference number related to the ad?",{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 04:42:13.045810,Ad ID:1894949777966563329,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 04:42:18.367406, Thank you for providing the Ad ID. I'll escalate this issue to our support team to expedite the review process. You should receive an update soon.,{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 04:43:25.161160,how much time take ?,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 04:43:32.997594," Once the issue is escalated, it typically takes a few hours to get an update. However, it can vary depending on the volume of requests. I'll make sure to prioritize your request.",{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 04:44:05.970835,thank you so much i appreciate your help,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 04:44:10.491635," You're welcome! I'm glad I could help. If you have any other questions or need further assistance, feel free to reach out.",{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 23:27:00.912976, i want to talk with agent,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 23:27:07.894566," Sure, I'll notify our support team to connect you with a human representative. You should hear from them soon.",{}
web,WEBCHAT,3c5c3f1008e546d2a265b2e7e2ef3696,Absolute Nest 823db93d4f,2025-03-04 23:35:25.685773,i want to talk with human,{}
bot,WEBCHAT,BOT,BOT,2025-03-04 23:35:31.595046," No problem, I'll notify our support team to connect you with a human representative. You should hear from them soon.",{}
