Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-07 00:39:01.715457,,"{""recipient_id"": ""c37fd322-c91f-4a73-b3c2-f08dd5d7c730"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-07 00:39:02.180888,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-07 00:39:02.920749,,"{""recipient_id"": ""c37fd322-c91f-4a73-b3c2-f08dd5d7c730"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 00:39:15.468848,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Alicia""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""alicia@sugartothread.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1897807950100856834""}]}"
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 00:39:25.555951,Hi were is my pixel?,{}
bot,WEBCHAT,BOT,BOT,2025-03-07 00:39:31.346735," Hi Alicia! Could you please let me know which platform or service you are using for your pixel? For example, are you using Google Tag Manager (GTM) or Shopify? This will help me provide you with the right instructions.",{}
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 00:39:32.123742,Where,{}
bot,WEBCHAT,BOT,BOT,2025-03-07 00:39:36.570584," I understand you're looking for your pixel. Could you please specify which platform or service you are using to track your pixel? For example, are you using Google Tag Manager (GTM), Shopify, or another service?",{}
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 00:40:01.064231,Weebly Website,{}
bot,WEBCHAT,BOT,BOT,2025-03-07 00:40:09.599436," Thanks for letting me know, Alicia! To install a NewsBreak Pixel on your Weebly website, you can follow these general steps. Unfortunately, we don't have a specific guide for Weebly, but the process is similar to other platforms like Shopify or GTM. Here’s a basic outline you can follow:
1. **Get Your Pixel Code**: Obtain your pixel code from NewsBreak Ad Manager.
2. **Access Weebly Editor**: Log in to your Weebly account and go to the website editor.
3. **Add Custom Code**: Navigate to the 'Settings' tab and select 'SEO'. In the 'Header Code' section, paste your pixel code.
4. **Save and Publish**: Save your changes and publish your site.
For more detailed information on setting up custom pixels, you can refer to this [article](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify). Although it's for Shopify, the steps are quite similar.
If you need further assistance or run into any issues, feel free to reach out!",{}
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 00:40:48.704530,Ok where is the pixel code located in the Ad manager?,{}
bot,WEBCHAT,BOT,BOT,2025-03-07 00:40:55.010377," Great question, Alicia! To locate your pixel code in the NewsBreak Ad Manager, follow these steps:
1. **Log In**: Log into your NewsBreak account.
2. **Navigate to Tools**: Go to the 'Tools' section and select 'Ad Manager'.
3. **Event Management**: Click on 'Event Management'.
4. **Choose Pixel**: Select 'Pixel' as your tracking type and choose your integration method (e.g., Shopify, GTM, etc.). Specify your event type.
5. **Get Base Code**: Your base code will be generated after you fill in all the required fields. Copy this code.
For more detailed instructions, you can refer to this [article](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify).
If you need any further assistance, feel free to ask!",{}
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 01:05:49.493343,What am I supposed to replace the XXX with in this part of the pixel code {nb_value: xxx})?,{}
bot,WEBCHAT,BOT,BOT,2025-03-07 01:05:56.063329," In the pixel code, you should replace `xxx` with the actual value you want to track for that event. For example, if you're tracking a purchase event, you might replace `xxx` with the purchase amount. Here's an example:
```javascript
{nb_value: 49.99}
```
This would track a value of $49.99 for that specific event.
If you have any more questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 01:06:50.179713,Can I add more than one value? ,{}
bot,WEBCHAT,BOT,BOT,2025-03-07 01:06:55.647825," Yes, you can add more than one value to your pixel code by including additional parameters within the code. For example, if you want to track both the purchase amount and the currency, you can do something like this:
```javascript
{nb_value: 49.99, currency: 'USD'}
```
This way, you are tracking both the value of the purchase and the currency used.
If you need more detailed guidance or have any other questions, feel free to ask!",{}
web,WEBCHAT,5ad67fb954cd4285a9558d1cd324110f,Alicia ,2025-03-07 01:07:26.353541,I mean more than one purchase amount?,{}
