Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-14 01:31:55.144000,,"{""recipient_id"": ""2af987d4-fedc-4c12-a526-a53810d46b21"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-14 01:31:55.154000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,2a1e3bbd525141b687801aa4e93f0e95,Anna ,2025-08-14 01:31:55.164000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Anna""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""yan.wang@newsbreak.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1953232574255521794""}]}"
web,WEBCHAT,2a1e3bbd525141b687801aa4e93f0e95,Anna ,2025-08-14 01:32:31.230691,can i run weight loss suppliments ads on NewsBreak,{}
bot,WEBCHAT,BOT,BOT,2025-08-14 01:32:40.568383," Sweepstakes are generally not allowed, I recommend checking out our policy document for detailed guidelines on sweepstakes. You can find it here: [Ad Policy](https://help.newsbreak.com/hc/en-us/articles/18085960681101-My-ad-got-rejected-What-s-next). Let me know if you have any other questions!",{}
web,WEBCHAT,2a1e3bbd525141b687801aa4e93f0e95,Anna ,2025-08-14 01:38:25.161462,can you create a ticket for me,{}
bot,WEBCHAT,BOT,BOT,2025-08-14 01:38:34.852327," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,2a1e3bbd525141b687801aa4e93f0e95,Anna ,2025-08-14 01:39:29.082262,what's your business verification process,{}
bot,WEBCHAT,BOT,BOT,2025-08-14 01:39:38.931992," For business verification, please provide the following details:
- Company's full address
- Company's legal entity name
- Account Email
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
- Business URL
Once you have this information ready, you can email it to adsupport@newsbreak.com for further assistance.",{}
web,WEBCHAT,2a1e3bbd525141b687801aa4e93f0e95,Anna ,2025-08-14 01:53:36.765793,what is the learning phase,{}
bot,WEBCHAT,BOT,BOT,2025-08-14 01:53:51.106132," The learning phase is a period when the system gathers data to optimize ad delivery. During this time, the system tests different strategies to find the best way to achieve your campaign goals. It's important to allow this phase to complete for optimal performance.",{}
