Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-17 12:23:26.281417,,"{""recipient_id"": ""9247b45c-baa7-48c9-96bd-7a5666873833"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-17 12:23:26.800414,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-17 12:23:27.985833,,"{""recipient_id"": ""9247b45c-baa7-48c9-96bd-7a5666873833"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:23:34.675437,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Artem""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""a.subbotin@wtech.co""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1900143195963772930""}]}"
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:23:40.896788,hello,{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:23:47.092268, Hi there! How can I assist you today?,{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:24:04.988449,All my test ads are still on Pending,{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:24:10.751374,why?,{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:24:19.957577," I'm sorry to hear that your test ads are still pending. Is this a new account that hasn't been verified yet? If so, you may need to provide some additional information for verification. Please email adsupport@newsbreak.com with the subject line: Business Verification and include the following details:
- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
Once we receive this information, we will conduct a thorough review and update you on your account status. We appreciate your cooperation in maintaining a secure and compliant advertising environment for all our partners. If you have any questions, please don't hesitate to reach out.",{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:24:26.992432, I'm sorry to hear that your test ads are still pending. Could you please let me know if your account is new and whether it has been verified? This information will help me provide more specific guidance.,{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:24:59.352714,it is new one,{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:25:08.921863," Thanks for letting me know. Since your account is new, it might be pending verification. To proceed with the verification process and have your ads approved, please provide the following details by emailing adsupport@newsbreak.com with the subject line: Business Verification:
- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
Once we receive this information, we will conduct a thorough review and update you on your account status. We appreciate your cooperation in maintaining a secure and compliant advertising environment for all our partners.",{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:38:12.183106,ok,{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:38:19.490723," Great! If you have any other questions or need further assistance, feel free to ask. I'm here to help!",{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:38:43.475710,done,{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:38:47.007525,I've sent ,{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:38:50.704056," Awesome! Our team will review the information you provided and update you on your account status soon. If you need any further assistance in the meantime, just let me know!",{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:38:53.671675," Awesome! Our team will review the information you provided and get back to you as soon as possible. If you have any other questions or need further assistance in the meantime, just let me know!",{}
web,WEBCHAT,9c64993d71364e48a2385be6ed81399e,Artem ,2025-03-17 12:38:57.985327,ok thanks,{}
bot,WEBCHAT,BOT,BOT,2025-03-17 12:39:04.274582," You're welcome! If you need any further assistance, feel free to reach out. Have a great day!",{}
