Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-11 18:25:08.455505,,"{""recipient_id"": ""6adb99fb-71fa-491b-9c8d-375e07ca5fc1"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Phone"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-phone.svg"", ""is_required"": false, ""entity_name"": ""_PHONE""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-11 18:25:08.923574,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 18:25:29.961949,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Azhar""}, {""title"": ""Phone"", ""entity_name"": ""_PHONE"", ""value"": ""+1""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""azfhh@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""11299""}]}"
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:15:14.144980,i need help,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:15:18.989892, Hey there! I'm here to help. What do you need assistance with? Just let me know!,{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:15:35.560024,i want to confirm if my ads meet the policy guideline,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:15:44.602551," To confirm if your ads meet the policy guidelines, I recommend checking out our Ad Policy document. It provides detailed information on what is allowed and what isn't. You can find it here: [Ad Policy](https://help.newsbreak.com/hc/en-us/articles/25362604231053-Ad-Policy). If you have specific questions about your ads, feel free to share!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:15:58.708945,do you allow sweepstakes?,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:16:03.516704, Sweepstakes are generally not allowed. I suggest checking our policy document for detailed guidelines on sweepstakes. You can find it here: [Sweepstakes Policy](https://help.newsbreak.com/hc/en-us/articles/25362604231053-Ad-Policy). Let me know if you have any other questions!,{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:16:44.199034,do you support max conversion value?,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:16:51.378886," Yes, we do support maximizing conversion value. For more details on how to implement this strategy, you can check out our article on it here: [Maximize Conversions Best Practices](https://help.newsbreak.com/hc/en-us/articles/23055076590221-Maximize-Conversions-Best-Practices). If you have any specific questions about it, feel free to ask!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:17:25.371125,i have another question,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:17:33.439807, Sure thing! What's your question? I'm here to help!,{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:17:50.624785,Does a tcpa of $30+ scale well on Newsbreak?,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:17:59.848110," To determine if a TCPA of $30+ scales well on NewsBreak, it really depends on your specific campaign goals and audience. Generally, higher TCPA can limit the volume of conversions, but it might still be effective if you're targeting a high-value audience. If you have more details about your campaign, I can provide better insights! Let me know!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-11 19:18:20.856852,i have a supplement campaign ,{}
bot,WEBCHAT,BOT,BOT,2025-02-11 19:18:32.805838," Got it! For your supplement campaign, it's important to ensure that your ads comply with our advertising policies, especially regarding health claims. Are you looking for specific guidance on targeting, ad creative, or something else? Let me know how I can assist you further!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:13:34.382197,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-02-12 22:13:35.623951,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:56:05.631990,ad credits,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:56:12.692434, Hey there! Are you looking for information on how to redeem ad credits or do you have a specific question about them? Let me know so I can help you out!,{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:56:29.382118,does every new account get ad credit?,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:56:33.429225," That's a great question! Not every new account automatically gets ad credits. It usually depends on promotions or specific offers at the time of account creation. If you want to know more about how ad credits work or if there are any current promotions, let me know!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:56:58.231895,is there an AM i can talk to about this?,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:57:03.284211," I can help with general questions, but if you need to speak with an Account Manager (AM), I recommend reaching out via email. Would you like me to send an email on your behalf to get in touch with someone? Just let me know what you'd like to say!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:57:15.044068,never mind,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:57:19.628567," No problem at all! If you have any other questions later, feel free to ask. I'm here to help!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:57:36.236529,do you bypass event testing?,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:57:42.557395, Could you clarify what you mean by 'bypass event testing'? Are you asking if there's a way to skip certain tests or if there's a specific process you're referring to? Let me know so I can assist you better!,{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:58:10.122055,event tracking is stuck and i need help getting that test bypassed,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:58:21.356104," I understand that you're having trouble with event tracking. Can you let me know which tracking platform or service you're using? This will help me provide you with the right guidance. In the meantime, you can check out our Event Tracking article for more information: [Event Tracking](https://help.newsbreak.com/hc/en-us/sections/30523433509645-Event-Tracking). Looking forward to your response!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:58:36.516392,when can i connect with a live agent?,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:58:40.873522," Live agent availability can vary, but typically you can connect with one during business hours. If you need immediate assistance, I can help with your questions or send an email to our support team for you. Just let me know what you'd like to do!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:59:04.334956,which timezone are your agents available in?,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:59:08.857452," Our agents are generally available in the Pacific Standard Time (PST) zone. If you need to reach out, just keep that in mind! If you have any specific questions or need assistance, feel free to ask!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 22:59:20.254343,can you run a report for me?,{}
bot,WEBCHAT,BOT,BOT,2025-02-12 22:59:25.960738," I can't run reports directly, but I can guide you on how to do it! What kind of report are you looking to generate? If you need help with the API or any specific metrics, just let me know!",{}
web,WEBCHAT,ee704c6711664ac18cd7d04377615749,Azhar ,2025-02-12 23:09:02.792677,can you create video ads fro me?,{}
