Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-17 16:03:14.553007,,"{""recipient_id"": ""39a66adb-cd22-473d-8cc1-336e4999b474"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-17 16:03:15.041142,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-17 16:03:15.445275,,"{""recipient_id"": ""39a66adb-cd22-473d-8cc1-336e4999b474"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,be29122ab5484b79aec248c86344818e,Chris ,2025-05-17 16:03:36.295535,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Chris""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""cwcooper92@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1923733889259311106""}]}"
web,WEBCHAT,be29122ab5484b79aec248c86344818e,Chris ,2025-05-17 16:03:58.719612,I need help with my conversion code for Shopify,{}
bot,WEBCHAT,BOT,BOT,2025-05-17 16:04:08.122322," Sure thing! To integrate the NewsBreak Pixel into your Shopify store, you'll need to follow these steps:
1. Log into NewsBreak and navigate to Tools > Ad Manager > Event Management.
2. Choose Pixel as your tracking type, Shopify as the integration method, and specify your event type.
3. Copy the base code generated in Step 1.
4. In your Shopify account, go to Settings > Customer events.
5. Create a unique name for your pixel and click ""Add pixel"" to open the event editor.
6. Paste your custom JavaScript pixel code into the Code window.
Once integrated, you can test it in Ad Manager or inform your account manager/operations team for verification.
For more detailed instructions, you can check out this article: [How to install a NewsBreak Pixel on Shopify](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify). Let me know if you need further assistance!",{}
web,WEBCHAT,be29122ab5484b79aec248c86344818e,Chris ,2025-05-17 16:04:34.216076,can I speak with a representative,{}
bot,WEBCHAT,BOT,BOT,2025-05-17 16:04:41.250051," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,be29122ab5484b79aec248c86344818e,Chris ,2025-05-17 16:04:56.707473,live agent please,{}
bot,WEBCHAT,BOT,BOT,2025-05-17 16:05:08.407998," I understand you're looking for assistance. While I can't connect you to a live agent, I'm here to help with any questions or issues you might have. Please let me know how I can assist you!",{}
