Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 17:16:40.268362,,"{""recipient_id"": ""e459f6eb-bb75-4a81-b6c8-410a4d53f068"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 17:16:40.701100,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:16:44.704427,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-03 17:16:47.535035,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Successfully transferred to a live agent!"", ""message_below"": ""Now you can talk to the agent."", ""summary"": ""N/A""}}}}"
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:16:53.502783,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:16:58.218469,Hello,{}
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:20:09.408887,hello,{}
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:20:37.711250,Can i speak with a live agent,{}
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:21:22.794891,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 17:21:23.254362,You are talking with an AI agent.,"{""recipient_id"": ""e459f6eb-bb75-4a81-b6c8-410a4d53f068"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 17:21:23.459352,,"{""recipient_id"": ""e459f6eb-bb75-4a81-b6c8-410a4d53f068"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_COMPLETED"", ""message"": ""The user is now talking with the AI Agent.""}}}}"
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 17:21:24.534116,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-03 17:21:26.764397,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Successfully transferred to a live agent!"", ""message_below"": ""Now you can talk to the agent."", ""summary"": ""N/A""}}}}"
web,WEBCHAT,031a5a8688bd4b29aa7af7562e3f3502,Clear Davit f0917f319c,2025-03-03 18:55:04.836313,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 18:55:05.315873,You are talking with an AI agent.,"{""recipient_id"": ""e459f6eb-bb75-4a81-b6c8-410a4d53f068"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
