Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-07 19:16:42.151000,,"{""recipient_id"": ""fd2ff484-96de-49c0-bcba-7291ba94504d"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-07 19:16:42.161000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,73806be6c14f44619b95d7adb286aeeb,Dejvis ,2025-08-07 19:16:42.171000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Dejvis""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""info@treasorajewelry.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1952528909801779202""}]}"
web,WEBCHAT,73806be6c14f44619b95d7adb286aeeb,Dejvis ,2025-08-07 19:18:18.838676,"Hi there, i want to add ad credit but the option is not available",{}
bot,WEBCHAT,BOT,BOT,2025-08-07 19:18:30.502010," Hey there! To add ad credit, your account needs to meet certain requirements. First, your account must complete and pass business verification. Additionally, you need to have accumulated over $5,000 in spend on your account or campaign. Once these conditions are met, you can establish a relationship with an Account Manager who can request the ad credit functionality to be enabled for you. If you have any questions or need further assistance, feel free to reach out!",{}
web,WEBCHAT,73806be6c14f44619b95d7adb286aeeb,Dejvis ,2025-08-07 19:19:38.340961,how i can complete and pass business verification,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 19:20:20.836154," To complete and pass business verification, please provide the following details by emailing adsupport@newsbreak.com with the subject line: Business Verification:

- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
- Business URL

Once we receive this information, our team will conduct a thorough review and update you on your account status. Let me know if you need any more help!",{}
web,WEBCHAT,73806be6c14f44619b95d7adb286aeeb,Dejvis ,2025-08-07 19:22:18.162486,ok ill do that asap. until that happen can i advertise on this platform?,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 19:22:29.844957," You can start setting up your campaigns on the NewsBreak platform, but they won't go live until your business verification is successfully completed. Once verified, you'll be able to launch and run your ads. If you have any questions while setting up, feel free to ask!",{}
web,WEBCHAT,73806be6c14f44619b95d7adb286aeeb,Dejvis ,2025-08-07 19:23:02.580342,Thank You!,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 19:23:13.768235, You're welcome! Thanks for contacting us and we want to hear from you!,{}
web,WEBCHAT,73806be6c14f44619b95d7adb286aeeb,Dejvis ,2025-08-07 19:23:33.168395,Thank you for your feedback. You can click the close icon below to close this widget.,"{""form_id"": ""cf69400b93794252b3a8edeb197d0bfa"", ""hidden_reply"": false, ""intent_name"": ""_csat_form_submit"", ""rating"": 5, ""comment"": """"}"
bot,WEBCHAT,BOT,BOT,2025-08-07 19:23:50.391862," Thanks for your feedback! If you have any more questions or need further assistance, feel free to reach out. Have a great day!",{}
