Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 07:27:50.031585,,"{""recipient_id"": ""29b141b8-2ac6-41f6-a30b-6bb3b8132bb4"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 07:27:50.527432,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:27:56.988814,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:28:04.083818,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-02-27 07:28:06.350208,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Successfully transferred to a live agent!"", ""message_below"": ""Now you can talk to the agent."", ""summary"": ""N/A""}}}}"
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:29:18.729460,"I have $250 incentive ad credits in my account. But it's still giving warning ""Your account needs a valid payment method before your ad can be reviewed and delivered. Add payment method."" ",{}
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:29:43.082778,🧹 New Topic,"{""payload"": ""/clear_history""}"
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:30:13.955562,Hi there ,{}
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:30:25.690424,"I have $250 incentive ad credits in my account. But it's still giving warning ""Your account needs a valid payment method before your ad can be reviewed and delivered. Add payment method.""",{}
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:33:44.933204,Why can't I use my incentive ad credits for ads? ,{}
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:35:54.286778,Please help me ,{}
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:45:26.689661,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 07:45:27.169116,You are talking with an AI agent.,"{""recipient_id"": ""29b141b8-2ac6-41f6-a30b-6bb3b8132bb4"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 07:45:27.401418,,"{""recipient_id"": ""29b141b8-2ac6-41f6-a30b-6bb3b8132bb4"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_COMPLETED"", ""message"": ""The user is now talking with the AI Agent.""}}}}"
web,WEBCHAT,9f0024f58f254f938b2568fd2ef7fb03,Fancy Bounce 8a694293f2,2025-02-27 07:45:42.719375,"I have $250 incentive ad credits in my account. But it's still giving warning ""Your account needs a valid payment method before your ad can be reviewed and delivered. Add payment method.""",{}
bot,WEBCHAT,BOT,BOT,2025-02-27 07:45:51.502919," It sounds like you need to add a valid payment method to your account even if you have ad credits. Ad credits are always used before your primary payment method, but having a valid credit card on file is still required. Here’s how you can add a payment method:
1. Access the Billing Section.
2. Click 'add payment method.'
3. Provide your credit card information and save.
For more details, you can check out our Billing Guide here: [Billing Guide](https://help.newsbreak.com/hc/en-us/articles/17821681919757-Billing-Guide).",{}
