Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-20 20:44:11.903351,,"{""recipient_id"": ""5ae1d22f-3528-44de-836c-774b86580a38"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-20 20:44:12.413168,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-20 20:44:13.614312,,"{""recipient_id"": ""5ae1d22f-3528-44de-836c-774b86580a38"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,9c713ecd42904b648b45cee5d5e3028c,Gal ,2025-03-20 20:44:19.827361,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Gal""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""tools@ktarget.net""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1901262447043137537""}]}"
web,WEBCHAT,9c713ecd42904b648b45cee5d5e3028c,Gal ,2025-03-20 20:44:23.197045,Hey,{}
bot,WEBCHAT,BOT,BOT,2025-03-20 20:44:28.590687, Hey there! How can I assist you today?,{}
web,WEBCHAT,9c713ecd42904b648b45cee5d5e3028c,Gal ,2025-03-20 20:44:36.103359,Could you please increase the size if videos I can upload?,{}
bot,WEBCHAT,BOT,BOT,2025-03-20 20:44:48.330845," I'm sorry, but I don't have the ability to change the upload size limits for videos. If you have any other questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,9c713ecd42904b648b45cee5d5e3028c,Gal ,2025-03-20 20:45:01.347125,Who does?,{}
bot,WEBCHAT,BOT,BOT,2025-03-20 20:45:07.002519," For changes to upload size limits, you would need to contact our support team. You can reach them at adsupport@newsbreak.com. They should be able to assist you with your request.",{}
