Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 20:59:00.369485,,"{""recipient_id"": ""ccc8be7d-bbf8-4408-9fe0-7b8c06bc3f95"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 20:59:00.836177,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,9b3bab66b16b44ad85bcc53b4fc9535e,Instant Keep 8443ddfd47,2025-02-27 20:59:10.531057,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,9b3bab66b16b44ad85bcc53b4fc9535e,Instant Keep 8443ddfd47,2025-02-27 20:59:28.814027,review,{}
bot,WEBCHAT,BOT,BOT,2025-02-27 20:59:33.199928," Hi there! Could you please provide more details about what you need help with regarding a review? Are you looking to report a comment or user, or do you need assistance with something else?",{}
web,WEBCHAT,9b3bab66b16b44ad85bcc53b4fc9535e,Instant Keep 8443ddfd47,2025-02-27 21:00:31.769593,my ad is under review 1 day,{}
bot,WEBCHAT,BOT,BOT,2025-02-27 21:00:37.489349," I understand that your ad has been under review for a day. Sometimes, the review process can take a bit longer than expected. If it has been more than 24 hours, I recommend reaching out to our support team for further assistance. You can contact them at adsupport@newsbreak.com.",{}
web,WEBCHAT,9b3bab66b16b44ad85bcc53b4fc9535e,Instant Keep 8443ddfd47,2025-03-01 03:50:21.137879,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-01 03:50:24.159165,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Agents are offline right now, but your messages are sent to them."", ""message_below"": ""An agent has been notified and will respond as soon as possible."", ""summary"": ""The user is inquiring about their ad, which has been under review for a day. The agent explains that the review process can sometimes take longer than expected and advises the user to contact the support team at adsupport@newsbreak.com if it has been more than 24 hours.""}}}}"
web,WEBCHAT,9b3bab66b16b44ad85bcc53b4fc9535e,Instant Keep 8443ddfd47,2025-03-01 07:32:37.622325,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-01 07:32:38.097895,You are talking with an AI agent.,"{""recipient_id"": ""ccc8be7d-bbf8-4408-9fe0-7b8c06bc3f95"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-01 07:32:38.303009,,"{""recipient_id"": ""ccc8be7d-bbf8-4408-9fe0-7b8c06bc3f95"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_COMPLETED"", ""message"": ""The user is now talking with the AI Agent.""}}}}"
web,WEBCHAT,9b3bab66b16b44ad85bcc53b4fc9535e,Instant Keep 8443ddfd47,2025-03-01 07:32:42.317981,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-01 07:32:44.060553,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Successfully transferred to a live agent!"", ""message_below"": ""Now you can talk to the agent."", ""summary"": ""N/A""}}}}"
