Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-20 23:09:37.675000,,"{""recipient_id"": ""ae2b7287-fdc5-4d0f-85cd-b45765ff166a"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-20 23:09:37.685000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:09:37.695000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Jax""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""jax@dashleads.co""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1945189820546605057""}]}"
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:09:50.804608,How can I see my pixel base code again?,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 23:09:57.920412," To view your NewsBreak Pixel base code again, you can log into your NewsBreak Ad Manager account. Navigate to Tools > Event Management, and choose Pixel as your tracking type. Your base code will be available there for you to copy and use as needed. If you're using Shopify or Google Tag Manager, make sure to follow the specific integration steps for those platforms.",{}
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:10:19.166987,I dont see where to get the base code,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 23:10:29.377469," If you're having trouble finding your NewsBreak Pixel base code, make sure you are logged into your NewsBreak Ad Manager account. Once logged in, go to Tools > Event Management. From there, select 'Pixel' as your tracking type. You should see the option to generate and view your base code. If you're still having issues, please let me know!",{}
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:11:21.542505,I cant find that. There is nowhere to see the base code,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 23:11:29.112870, I'm sorry to hear you're having trouble finding the base code. Let's make sure we're on the right track. Could you please confirm if you're using Shopify or Google Tag Manager for your integration? This will help me provide more specific guidance.,{}
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:11:43.370126,I just want to copy my base code. I am using shopify,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 23:11:52.834154," To copy your NewsBreak Pixel base code for Shopify, follow these steps:

1. Log into your NewsBreak Ad Manager account.
2. Navigate to Tools > Event Management.
3. Choose 'Pixel' as your tracking type and select 'Shopify' as the integration method.
4. Your base code should be generated and displayed there for you to copy.

Once you have the base code, you can paste it into your Shopify theme.liquid file as per the instructions.",{}
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:12:18.269801,I want to see an existing base code,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 23:12:29.545197," To view an existing NewsBreak Pixel base code in your Shopify setup, you should:

1. Log into your NewsBreak Ad Manager account.
2. Go to Tools > Event Management.
3. Under the Pixel section, you should see a list of your existing pixels.
4. Click on the pixel you want to view, and it will display the base code for you to copy or review.

If you're still unable to find it, please let me know!",{}
web,WEBCHAT,795f624a024748029226d87147e229f8,Jax ,2025-07-20 23:12:41.696783,Can not click it,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 23:12:49.147847," If you're unable to click and view your existing base code, it might be a technical issue. Please try refreshing the page or clearing your browser cache. If the problem persists, you may need to contact our support team at adsupport@newsbreak.com for further assistance.",{}
