Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-19 09:40:59.012528,,"{""recipient_id"": ""26e83568-923f-4da1-80f7-1cac277bf0c9"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-19 09:40:59.574500,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-19 09:41:02.356099,,"{""recipient_id"": ""26e83568-923f-4da1-80f7-1cac277bf0c9"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,ba11cf2731844ae8b7dc806049302a6b,Jessie ,2025-03-19 09:41:29.255530,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Jessie""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""oq28nm84@outlook.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1902273524362747906""}]}"
web,WEBCHAT,ba11cf2731844ae8b7dc806049302a6b,Jessie ,2025-03-19 09:41:44.236948,怎么投放广告,{}
bot,WEBCHAT,BOT,BOT,2025-03-19 09:41:52.516877, 你好！要在NewsBreak上投放广告，你需要先创建一个广告账户。你可以参考这篇文章了解如何创建广告账户：https://help.newsbreak.com/hc/en-us/articles/26538006900877-Advertising-Help-Center。如果你有任何问题，请随时告诉我！,{}
web,WEBCHAT,ba11cf2731844ae8b7dc806049302a6b,Jessie ,2025-03-19 09:42:12.607031,有了广告账户如何投放广告,{}
bot,WEBCHAT,BOT,BOT,2025-03-19 09:42:19.635771," 你好！有了广告账户后，你可以按照以下步骤投放广告：
1. 登录你的NewsBreak广告账户。
2. 导航到广告管理器页面。
3. 点击“创建广告”按钮。
4. 选择你的广告目标，例如品牌知名度、流量或转化等。
5. 设置你的广告预算和时间范围。
6. 选择你的目标受众，包括地理位置、年龄、性别等。
7. 上传你的广告素材，如图片或视频，并编写广告文案。
8. 预览并确认你的广告设置，然后点击“发布”按钮。
如果你需要更详细的指导，可以参考这篇文章：https://help.newsbreak.com/hc/en-us/articles/26538006900877-Advertising-Help-Center。如果有任何问题，请随时告诉我！",{}
web,WEBCHAT,ba11cf2731844ae8b7dc806049302a6b,Jessie ,2025-03-19 09:43:10.302618,怎么切换账户语言,{}
bot,WEBCHAT,BOT,BOT,2025-03-19 09:43:17.941085," 你好！要切换NewsBreak广告账户的语言，你可以按照以下步骤操作：
1. 登录你的NewsBreak广告账户。
2. 在页面右上角找到你的账户头像或名字，点击它。
3. 在下拉菜单中选择“设置”或“Settings”。
4. 找到语言选项，选择你想要的语言。
5. 保存更改。
如果你需要更多帮助，请随时告诉我！",{}
