Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-04 17:46:57.049128,,"{""recipient_id"": ""6549e6bc-4034-4f71-8614-63bf5908d463"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-04 17:46:57.564286,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-04 17:46:58.128042,,"{""recipient_id"": ""6549e6bc-4034-4f71-8614-63bf5908d463"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,46199e77028d4b89a0eef3d33dadc20b,John ,2025-05-04 17:47:19.533754,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""John""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""leads@isocialbusiness.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1918355507357466625""}]}"
web,WEBCHAT,46199e77028d4b89a0eef3d33dadc20b,John ,2025-05-04 17:48:02.946242,If my conversion tracking code is on a redirect url after form submit different from the url of my ad will the event still be configured?,{}
bot,WEBCHAT,BOT,BOT,2025-05-04 17:48:11.425217," If your conversion tracking code is placed on a redirect URL after a form submission, it should still be able to track the event as long as the tracking code is properly executed on that redirect page. The key is ensuring that the tracking code fires correctly when the user lands on the redirect URL. If you're using a postback method, make sure that the callback parameter is included in your ad's landing page URL and that it's passed through to the redirect URL.
For more detailed guidance, you can refer to our general NewsBreak Postback integration guide here: [How to integrate a general NewsBreak Postback](https://help.newsbreak.com/hc/en-us/articles/25226963388813-How-to-integrate-a-general-NewsBreak-Postback).",{}
web,WEBCHAT,46199e77028d4b89a0eef3d33dadc20b,John ,2025-05-04 17:49:18.555625,I'm not using Postback method I am using install code method,{}
bot,WEBCHAT,BOT,BOT,2025-05-04 17:49:28.848378," If you're using the install code method, make sure that the NewsBreak Pixel or tracking code is correctly placed on the redirect URL where you want to track the conversion event. The pixel should fire when a user lands on that page, capturing the conversion data.
If you need specific instructions for setting up your pixel, please let me know which platform you're using (e.g., Shopify, GTM), and I can provide more detailed guidance.",{}
web,WEBCHAT,46199e77028d4b89a0eef3d33dadc20b,John ,2025-05-04 17:50:49.707416,"To be clear, their is no tracking code on the landing page the users click on from my ad. After then submit the lead form the Newsbreak tracking code has been added to the redirect url via installing the tracking code, which is on a completely direct url. ",{}
bot,WEBCHAT,BOT,BOT,2025-05-04 17:51:01.391841," Thanks for clarifying! If the NewsBreak tracking code is only on the redirect URL and not on the initial landing page, it should still track conversions as long as the user reaches that redirect page after submitting the form. The key is ensuring that the tracking code executes properly on that redirect URL.
However, keep in mind that without any tracking code on the initial landing page, you might miss out on capturing other valuable data like page views or user interactions before they submit the form. If your goal is solely to track conversions post-form submission, your current setup should work.
If you encounter any issues with this setup or need further assistance, feel free to reach out!",{}
