Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-28 06:17:26.039451,,"{""recipient_id"": ""d50546de-2475-4d59-a04a-c3c263ded5ec"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-28 06:17:26.745327,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-28 06:17:27.087113,,"{""recipient_id"": ""d50546de-2475-4d59-a04a-c3c263ded5ec"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,8d48eb75060f4aa4b49f9552de91f334,Karen ,2025-05-28 06:17:36.979960,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Karen""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""mylighthouseshop@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1909835685956136961""}]}"
web,WEBCHAT,8d48eb75060f4aa4b49f9552de91f334,Karen ,2025-05-28 06:18:09.139702,Help please. Having issues teseting the pixel event tracking code,{}
bot,WEBCHAT,BOT,BOT,2025-05-28 06:18:17.897882," I can help with that! Could you let me know which platform you're using for the pixel integration? Is it Shopify, Google Tag Manager (GTM), or a custom code setup? This will help me provide more specific guidance.",{}
web,WEBCHAT,8d48eb75060f4aa4b49f9552de91f334,Karen ,2025-05-28 06:18:26.371229,Shopify,{}
bot,WEBCHAT,BOT,BOT,2025-05-28 06:18:36.809162," Great! For Shopify integration, make sure you've placed the NewsBreak Pixel code correctly in the theme.liquid file. You can follow these steps:

1. Log into your Shopify account and go to Settings > Customer events.
2. Create a unique name for your pixel.
3. Click 'Add pixel' to open the event editor.
4. Paste your custom JavaScript pixel code into the Code window.
5. Ensure that the pixel is set up for the correct event type, like 'complete_payment'.
6. Test the event using Shopify's 'Test' feature to ensure it triggers correctly.

If you need more detailed instructions, you can refer to this article: [How to install a NewsBreak Pixel on Shopify](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify). If you're still having trouble, feel free to reach out to adsupport@newsbreak.com.",{}
web,WEBCHAT,8d48eb75060f4aa4b49f9552de91f334,Karen ,2025-05-28 06:19:01.561871,The Pixel base code is integrated correctly.,{}
bot,WEBCHAT,BOT,BOT,2025-05-28 06:19:27.948003," That's great to hear! Now, let's ensure the custom event is loading correctly. Here are a few steps you can follow:

1. Verify that the custom event code is placed correctly on the event page where the user action takes place.
2. Perform the action that should trigger the pixel, such as simulating a product purchase if it's a 'complete_payment' event.
3. Check if the pixel fires correctly after performing the test action.

If everything is set up correctly but you're still facing issues, try these steps again or reach out to adsupport@newsbreak.com for further assistance.",{}
