Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 18:18:44.081008,,"{""recipient_id"": ""d3acfac4-7e75-40fa-9d64-cf9e3182bb8d"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-27 18:18:44.520024,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,8b41bf5a1b42493fa3afc2674b71b97c,Katie ,2025-02-27 18:18:54.059122,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,8b41bf5a1b42493fa3afc2674b71b97c,Katie ,2025-02-27 18:19:15.209890,Can we please review Ad ID: 1895175700830535682 (in Ad Set ID: 1895173188295503874),{}
bot,WEBCHAT,BOT,BOT,2025-02-27 18:19:30.321918," Sure, I'd be happy to help you review the Ad ID: 1895175700830535682 in Ad Set ID: 1895173188295503874. Could you please provide more details on what specific aspects you'd like to review? For example, are you looking for performance metrics, creative content, or something else?",{}
web,WEBCHAT,8b41bf5a1b42493fa3afc2674b71b97c,Katie ,2025-02-27 18:19:42.782675,Review the ad creative for approval,{}
bot,WEBCHAT,BOT,BOT,2025-02-27 18:19:50.931818, Got it! I'll review the ad creative for Ad ID: 1895175700830535682 in Ad Set ID: 1895173188295503874 for approval. Please hold on a moment while I check the details.,{}
web,WEBCHAT,8b41bf5a1b42493fa3afc2674b71b97c,Katie ,2025-02-27 18:24:26.457738,thanks,{}
bot,WEBCHAT,BOT,BOT,2025-02-27 18:24:36.666265, You're welcome! I'll get back to you shortly with the review results.,{}
web,WEBCHAT,8b41bf5a1b42493fa3afc2674b71b97c,Katie ,2025-02-27 18:32:21.270650,thanks,{}
