Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-06-20 18:50:59.147000,,"{""recipient_id"": ""f1abc4b6-dfd0-41ee-b1be-871c5b0cad62"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-06-20 18:50:59.157000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-06-20 18:50:59.167000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Levi""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""hello@newparadigmventure.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1878940456220413954""}]}"
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-06-20 18:51:57.540836,"Hello, can I get an api access token for api integration",{}
bot,WEBCHAT,BOT,BOT,2025-06-20 18:52:05.399643," To fetch your API Access Token, please log in to the Newsbreak Admanager Platform. Click on Tools - Resources - API Access Tokens. Here you can click 'Generate token' to create your own API access token. Remember, this token is tied to your user ID and should not be shared with anyone else.",{}
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-07-04 14:41:29.889462,is it possible to get an ad duration time higher than one minut,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 14:41:37.311686," Currently, NewsBreak does not specify a maximum duration for ads, but typically video ads are kept short to maintain viewer engagement. If you have specific requirements or need further clarification, I recommend reaching out to our support team at adsupport@newsbreak.com for more detailed information.",{}
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-07-04 14:42:18.209121,🧹 New Topic,"{""payload"": ""/clear_history""}"
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-07-04 14:42:20.394807,can I chat with a live agent in here,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 14:42:22.938274,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
bot,WEBCHAT,BOT,BOT,2025-07-04 14:42:28.205450," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-07-04 14:42:32.660739,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-07-04 14:42:35.753535,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-07-04 14:42:42.688776,can I chat I with a real live assistant,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 14:42:51.522742," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,482eb1ce834141d6b3960212938e55f1,Levi ,2025-07-08 14:45:19.595115,how can i talk to a human newsbreak rep,{}
bot,WEBCHAT,BOT,BOT,2025-07-08 14:45:29.781981," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away. If you need further assistance, you can email our support team at adsupport@newsbreak.com.",{}
