Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-26 20:04:50.224886,,"{""recipient_id"": ""f6b8e4b5-eaa5-46a5-ba10-407e17981584"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-26 20:04:51.286776,,"{""recipient_id"": ""f6b8e4b5-eaa5-46a5-ba10-407e17981584"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-26 20:04:52.177436,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,8f9b6cca963b4930afd3f6d06d67ac13,Martin ,2025-05-26 20:05:12.392245,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Martin""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""mch@4compuservice.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1927088410410872833""}]}"
web,WEBCHAT,8f9b6cca963b4930afd3f6d06d67ac13,Martin ,2025-05-26 20:05:35.982334,help creating an ad,{}
bot,WEBCHAT,BOT,BOT,2025-05-26 20:05:46.388992," Creating your first ad on NewsBreak is a straightforward process! Here's a quick guide to get you started:

1. **Create an Advertiser Account**: First, ensure you have an advertiser account set up.

2. **Set Up Your Campaign**: Define your campaign objective, whether it's brand awareness or something else.

3. **Create Ad Sets**: Separate video ads and images into different ad sets for better organization.

4. **Targeting Options**: Use interest, demographics, and location-based targeting to reach your desired audience.

5. **Submit for Approval**: Once your ad is ready, save it and submit for approval. The process usually takes 1-2 business days.

For more detailed instructions, check out our article here: [How to create your first ad](https://help.newsbreak.com/hc/en-us/articles/17618196971149-How-to-create-your-first-ad). Let me know if you need further assistance!",{}
web,WEBCHAT,8f9b6cca963b4930afd3f6d06d67ac13,Martin ,2025-05-26 20:08:44.129178,I don't know how to create web event,{}
bot,WEBCHAT,BOT,BOT,2025-05-26 20:09:01.680252," No worries, I can help you with that! To create a web event on NewsBreak, follow these steps:

1. **Access Ad Management**: Go to your Ad Management dashboard.

2. **Create a New Campaign**: Start by creating a new campaign under the 'Conversion' objective column. You can choose between 'Website Conversions' or 'App Install.'

3. **Select an Event to Track**: Within your Ad Set, click the dropdown under ‘Choose your event to track’ and select ‘Create new event.’

4. **Event Management**: Name your event, decide on your event tracking type, and follow the 3-step process to integrate your Pixel or Postback.

5. **Test Pixel or Postback**: Make sure everything is set up correctly by testing it.

For more detailed instructions, you can refer to our article here: [Introduction to Maximize Conversions](https://help.newsbreak.com/hc/en-us/articles/20624355375117-Introduction-to-Maximize-Conversions). Let me know if you have any other questions!",{}
web,WEBCHAT,8f9b6cca963b4930afd3f6d06d67ac13,Martin ,2025-05-26 20:50:00.636090,i don't know how to integrate your Pixel or Postback.,{}
bot,WEBCHAT,BOT,BOT,2025-05-26 20:50:15.673161," Integrating a Pixel or Postback is essential for tracking conversions effectively. Here's how you can do it:

1. **Access Event Management**: Go to Tools > Event Management > Web Events.

2. **Create/Test Event**: Click the 'Create/test event' button.

3. **Choose Tracking Type**: Select either Pixel or Postback as your event tracking type.
   - **Pixel**: This involves adding a small code snippet to your website that records user actions like purchases.
   - **Postback**: This method sends event data directly from your server to NewsBreak's server, suitable for more complex website journeys.

4. **Follow Instructions**: Based on your selection, follow the on-screen instructions to complete the integration.

5. **Test Your Setup**: Use the 'Go Test' feature to ensure everything is working correctly before launching your campaign.

For more detailed guidance, check out our article here: [How to integrate a general NewsBreak Postback](https://help.newsbreak.com/hc/en-us/articles/25226963388813-How-to-integrate-a-general-NewsBreak-Postback). Let me know if you need further assistance!",{}
