Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-10 03:13:17.346796,,"{""recipient_id"": ""e312d550-765d-4223-bc76-f2445e2ffd15"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Phone"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-phone.svg"", ""is_required"": false, ""entity_name"": ""_PHONE""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-10 03:13:17.828319,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,7b40c1b2ef38430ca8fee315c0b93521,Paper Landfall d5c057a156,2025-02-10 03:13:56.278964,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,7b40c1b2ef38430ca8fee315c0b93521,Paper Landfall d5c057a156,2025-02-10 03:14:17.491272,I am stuck at testing conversion event,{}
bot,WEBCHAT,BOT,BOT,2025-02-10 03:14:22.258176, I can help with that! Can you tell me which tracking platform or service you're using for the conversion event? This will help me provide more specific guidance.,{}
web,WEBCHAT,7b40c1b2ef38430ca8fee315c0b93521,Paper Landfall d5c057a156,2025-02-10 03:14:52.044627,I use everflow,{}
bot,WEBCHAT,BOT,BOT,2025-02-10 03:15:10.559781," Great! Here are some steps to troubleshoot your conversion event testing in Everflow:
1. Make sure you're logged into your Everflow account and navigate to the 'Postbacks' section.
2. Check that the Postback URL is correctly set up in NewsBreak's Event Management tab.
3. Ensure that you have selected the correct parameters in your Postback URL, especially if you're using sub2-sub5 instead of sub1.
4. After entering the URL in NewsBreak's Postback testing tool, try triggering a conversion event again and see if you get a green checkmark within 1-2 minutes.
If you're still having issues, you can refer to this article for more detailed instructions: [How to set up an Everflow Postback on NewsBreak](https://help.newsbreak.com/hc/en-us/articles/22576502022285-How-to-set-up-an-Everflow-Postback-on-NewsBreak). Let me know how it goes!",{}
web,WEBCHAT,7b40c1b2ef38430ca8fee315c0b93521,Paper Landfall d5c057a156,2025-02-10 03:16:22.546850,"This is what my postback URL look like, anything wrong?

https://business.newsbreak.com/tracking/attribute?callback={sub_1}&event_type=add_to_cart",{}
bot,WEBCHAT,BOT,BOT,2025-02-10 03:16:27.776167," Your Postback URL looks mostly fine, but make sure that you're using the correct parameter for your setup. If you used 'sub1' in your Postback URL, it should match what you've set up in Everflow. Also, ensure that the event type 'add_to_cart' is correctly configured in both platforms. 
If you need to use a different sub parameter (like sub2-sub5), make sure to adjust it accordingly in your landing page URL as well. 
If everything seems correct and you're still having issues, I recommend checking with your Everflow account manager for any specific setup issues on their side. Let me know if you need more help!",{}
web,WEBCHAT,7b40c1b2ef38430ca8fee315c0b93521,Paper Landfall d5c057a156,2025-02-20 21:50:28.676261,Who is the top advertiser on Newsbreak?,{}
