Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-25 15:15:35.708000,,"{""recipient_id"": ""10d9f201-6533-41e1-8fa3-fd9ff608bc08"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-25 15:15:35.718000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-07-25 15:15:35.728000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Ruben""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""accounts@awrcecom.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1948658009495212034""}]}"
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-04 08:45:32.512603,Speak to a human agent,{}
bot,WEBCHAT,BOT,BOT,2025-08-04 08:45:41.583319," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-04 08:47:07.510694,I need to know how to add the Callback Param to the tracking link,{}
bot,WEBCHAT,BOT,BOT,2025-08-04 08:47:17.343499," To add the Callback Param to your tracking link, you'll need to follow the specific integration guide for your tracking platform. Could you please let me know which platform you're using? This will help me provide you with the correct instructions.",{}
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-04 08:47:45.088057,It is more so the domain I have questions about,{}
bot,WEBCHAT,BOT,BOT,2025-08-04 08:47:56.622673," If you have questions about the domain related to adding the Callback Param, you can integrate a general NewsBreak Postback by inserting ""__CALLBACK_PARAM__"" into the landing page URL of your ad. For more detailed instructions, please refer to this article: [How to integrate a general NewsBreak Postback](https://help.newsbreak.com/hc/en-us/articles/25226963388813-How-to-integrate-a-general-NewsBreak-Postback). Let me know if you need further assistance!",{}
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-04 13:20:14.209499,Can I speak to someone?,{}
bot,WEBCHAT,BOT,BOT,2025-08-04 13:20:24.561229," I'm here to assist you with any questions or issues you might have! Please let me know what you need help with, and I'll do my best to provide the information or guidance you require.",{}
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-04 13:21:22.697730,Can I speak with a human??,{}
bot,WEBCHAT,BOT,BOT,2025-08-04 13:21:31.783669," I understand you're looking to speak with someone directly. While I can't transfer you to a human agent, I'm here to help with any questions or issues you have. Please let me know how I can assist you!",{}
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-04 13:21:46.019222,Thank you for your feedback. You can click the close icon below to close this widget.,"{""form_id"": ""cf69400b93794252b3a8edeb197d0bfa"", ""hidden_reply"": false, ""intent_name"": ""_csat_form_submit"", ""rating"": 1, ""comment"": """"}"
bot,WEBCHAT,BOT,BOT,2025-08-04 13:21:56.782602, Thanks for contacting us and we want to hear from you!,{}
web,WEBCHAT,f107a280b90e4fc29691e41364ae9a1f,Ruben ,2025-08-05 07:56:00.788476,How email do I use to speak with an agent,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 07:56:11.697947, You can reach out to our support team by emailing adsupport@newsbreak.com. They'll be able to assist you with any questions or issues you have.,{}
