Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-12 04:43:01.390198,,"{""recipient_id"": ""26402dc6-8fc4-4d77-9d19-3724914d195f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-12 04:43:01.875558,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-12 04:43:03.630082,,"{""recipient_id"": ""26402dc6-8fc4-4d77-9d19-3724914d195f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-12 05:12:30.607170,,"{""recipient_id"": ""26402dc6-8fc4-4d77-9d19-3724914d195f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-12 05:12:32.596236,,"{""recipient_id"": ""26402dc6-8fc4-4d77-9d19-3724914d195f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-12 20:49:24.558553,,"{""recipient_id"": ""26402dc6-8fc4-4d77-9d19-3724914d195f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:49:30.742161,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""S""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""admin@foodsimp.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1899668372949344257""}]}"
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:49:49.822415,It's impossible to test ClickBank postback,{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:50:00.383734, Hi there! I can help you with that. Could you please let me know which tracking platform or service you are using for the ClickBank postback? This will help me provide more specific instructions.,{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:50:01.778514,It works very good from ClickBank end but not from NewsBreak,{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:50:07.691388,I never get successful,{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:50:09.499738," Thanks for the information! It sounds like the issue might be on the NewsBreak side. To help you better, could you please let me know which platform you are using to integrate the NewsBreak postback? For example, are you using CPV One or the Cake Platform?",{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:50:16.142111," I'm sorry to hear that you're having trouble with the postback from NewsBreak. To better assist you, could you please let me know which platform you are using to integrate the NewsBreak postback? For example, are you using CPV One or the Cake Platform?",{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:50:26.381417,Am I talking with AI or real agent?,{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:50:33.719922," You're currently chatting with a virtual assistant. I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:50:49.496673,Can I talk with real agent,{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:51:02.396130," I understand you'd like to speak with a real agent. I'm here to help with whatever you need! If you provide more details about your issue, I can assist you or escalate it if necessary.",{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:51:14.620775,"Create/test web event
Name
sadsa
Choose your event tracking type

Pixel

Postback
Choose the 3rd party tracking service you use.
Choose your conversion event
Event value
How to set up NewsBreak with ClickBank?
NewsBreak has configured its rules with ClickBank to simplify your integration.

Please read this article for integration instruction for ClickBank, and test the affiliate URL you get from ClickBank in the testing tool below.

✍ URL to paste in Postback URL in ClickBank:

https://business.newsbreak.com/tracking/attribute?callback={extclid}&event_type=add_to_cart

Paste Postback URL above",{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:51:31.358313," To set up NewsBreak with ClickBank, you can follow these steps for integration. Here is the URL you need to paste in the Postback URL section in ClickBank: 
https://business.newsbreak.com/tracking/attribute?callback={extclid}&event_type=add_to_cart
For detailed instructions, please refer to this article: [How to integrate a Newsbreak Postback with CPV One](https://help.newsbreak.com/hc/en-us/articles/34188623183757-How-to-integrate-a-Newsbreak-Postback-with-CPV-One). If you have any further questions or need additional help, feel free to ask!",{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:51:44.007241,"Create/test web event
Name
sadsa
Choose your event tracking type

Pixel

Postback
Choose the 3rd party tracking service you use.
Choose your conversion event
Event value
How to set up NewsBreak with ClickBank?
NewsBreak has configured its rules with ClickBank to simplify your integration.

Please read this article for integration instruction for ClickBank, and test the affiliate URL you get from ClickBank in the testing tool below.

✍ URL to paste in Postback URL in ClickBank:

https://business.newsbreak.com/tracking/attribute?callback={extclid}&event_type=add_to_cart

Paste Postback URL above",{}
web,WEBCHAT,66b6512167a048ff8d7ab0df6b947ab6,S ,2025-03-12 20:51:53.588585,look i did all of that,{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:51:56.426007," To set up NewsBreak with ClickBank, follow these steps for integration. Here is the URL you need to paste in the Postback URL section in ClickBank: 
https://business.newsbreak.com/tracking/attribute?callback={extclid}&event_type=add_to_cart
For detailed instructions, please refer to this article: [How to integrate a Newsbreak Postback with CPV One](https://help.newsbreak.com/hc/en-us/articles/34188623183757-How-to-integrate-a-Newsbreak-Postback-with-CPV-One). If you have any further questions or need additional help, feel free to ask!",{}
bot,WEBCHAT,BOT,BOT,2025-03-12 20:52:03.218737," I understand that you've followed the instructions but are still facing issues. Let's try to troubleshoot further. Could you please confirm if you have tested the affiliate URL from ClickBank in the testing tool provided by NewsBreak? Also, have you ensured that the callback parameter `{extclid}` is correctly replaced with the actual external click ID from ClickBank?",{}
