Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-07 19:13:43.853417,,"{""recipient_id"": ""02939924-4982-4d84-a339-81104ebe0040"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Phone"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-phone.svg"", ""is_required"": false, ""entity_name"": ""_PHONE""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-07 19:13:44.412671,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:15:48.343909,Cancel,"{""hidden_reply"": true, ""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""payload"": ""/cancel_for_input_data""}"
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:15:52.729821,I,{}
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:16:00.204614,this is naifu,{}
bot,WEBCHAT,BOT,BOT,2025-02-07 19:16:03.965153, It looks like your message got cut off. How can I assist you today?,{}
bot,WEBCHAT,BOT,BOT,2025-02-07 19:16:11.053084, Hey there! It looks like you might have sent a partial message. How can I assist you today?,{}
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:16:29.380478,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-02-07 19:16:32.942971,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:17:57.189458,help needed,{}
bot,WEBCHAT,BOT,BOT,2025-02-07 19:18:05.078364, Hey Naifu! I'm here to help you out. What do you need assistance with? Just let me know!,{}
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-07 19:18:41.803634,Naifu Xu is talking to you.,"{""recipient_id"": ""02939924-4982-4d84-a339-81104ebe0040"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""AGENT_JOINED"", ""message"": ""Naifu Xu is talking to you.""}}}}"
dashboard,WEBCHAT,naifu.xu@newsbreak.com,Naifu Xu,2025-02-07 19:18:42.303634,hi,
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:22:56.844493,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-07 19:22:58.138984,You are talking with an AI agent.,"{""recipient_id"": ""02939924-4982-4d84-a339-81104ebe0040"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-07 19:22:58.341531,,"{""recipient_id"": ""02939924-4982-4d84-a339-81104ebe0040"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_COMPLETED"", ""message"": ""The user is now talking with the AI Agent.""}}}}"
web,WEBCHAT,4ab2aee4e61e4704be0ba14c51766693,Stale Hypotenuse 97aabe2f60,2025-02-07 19:23:26.218330,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-02-07 19:23:30.141277,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Successfully transferred to a live agent!"", ""message_below"": ""Now you can talk to the agent."", ""summary"": ""Naifu reaches out for assistance but initially sends a partial message. The agent acknowledges the incomplete message and prompts Naifu to specify their needs. The agent expresses readiness to help once Naifu provides more details.""}}}}"
