Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-06 19:12:06.446601,,"{""recipient_id"": ""e3f1daa4-ca08-4c5b-b937-ba59ea5b2be9"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-06 19:12:06.914761,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-06 19:12:07.404692,,"{""recipient_id"": ""e3f1daa4-ca08-4c5b-b937-ba59ea5b2be9"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,e1e0ff04f99b450db49f3eea5e6768da,T ,2025-05-06 19:12:20.404452,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""T""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""tom@943-digital.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1917946346443616257""}]}"
web,WEBCHAT,e1e0ff04f99b450db49f3eea5e6768da,T ,2025-05-06 19:13:21.806158,"Costs are not tracking through to red track, can tech please look at the account and figure out why the costs are not being passed back? Seems like it might be a Newsbreak issue, as the revenue and the leads are all making into Newsbreak from Redtrack, but Newsbreak is not passing data back to Redtrack. Thanks!",{}
bot,WEBCHAT,BOT,BOT,2025-05-06 19:13:40.856317," It sounds like there might be an issue with the postback setup between NewsBreak and RedTrack. Let's make sure everything is configured correctly. Could you please confirm if you've followed the steps in the RedTrack postback setup guide? Here's a link to the article that outlines how to set up a RedTrack Postback on NewsBreak: [RedTrack Postback Setup Guide](https://help.newsbreak.com/hc/en-us/articles/25515090832013-How-to-set-up-a-RedTrack-Postback-on-NewsBreak). If everything seems correct and you're still facing issues, I recommend reaching out to our support team at adsupport@newsbreak.com for further assistance.",{}
web,WEBCHAT,e1e0ff04f99b450db49f3eea5e6768da,T ,2025-05-06 19:27:46.818483,Yes,{}
bot,WEBCHAT,BOT,BOT,2025-05-06 19:27:58.476343," Thanks for confirming! Since you've already checked the setup and are still experiencing issues, I'll send an email to our support team to look into this matter further. They'll be able to assist you with resolving the issue. Please keep an eye on your inbox for their response.",{}
web,WEBCHAT,e1e0ff04f99b450db49f3eea5e6768da,T ,2025-05-06 19:28:16.202042,"Great, thank you",{}
bot,WEBCHAT,BOT,BOT,2025-05-06 19:28:25.867673,"I've sent an email to our support team regarding the issue. They'll reach out to you soon to help resolve it. If you have any other questions, feel free to ask!",{}
seacontact,WEBCHAT,xuchen@seasalt.ai,Xuchen Yao,2025-05-06 22:40:32.292005,Xuchen Yao assigned this chat to Xuchen Yao.,"{""recipient_id"": ""d7884df2-f322-4938-98a3-9d0c6411c6da"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_ASSIGNED"", ""message"": ""Xuchen Yao assigned this chat to Xuchen Yao.""}}}}"
seacontact,WEBCHAT,xuchen@seasalt.ai,Xuchen Yao,2025-05-06 22:40:56.879162,Xuchen Yao canceled Xuchen Yao's assignment to this chat.,"{""recipient_id"": ""d7884df2-f322-4938-98a3-9d0c6411c6da"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_ASSIGNED"", ""message"": ""Xuchen Yao canceled Xuchen Yao's assignment to this chat.""}}}}"
