Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-31 20:43:44.483000,,"{""recipient_id"": ""5a26105c-0a7f-4cdb-8c3c-511a5e503d8a"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-31 20:43:44.493000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,2ca58fc0f3c24a4ba4fc2fc16b441cf4,Tatiana ,2025-07-31 20:43:44.503000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Tatiana""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""tatianasantana0@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1944775012308938753""}]}"
web,WEBCHAT,2ca58fc0f3c24a4ba4fc2fc16b441cf4,Tatiana ,2025-07-31 20:44:36.257721,"My lander was rejected, What should I do? A new ad or edit the one here?",{}
bot,WEBCHAT,BOT,BOT,2025-07-31 20:44:49.885086," If your ad was rejected, you have a couple of options. You can either modify the existing ad or create a new one, depending on the specific issues that caused the rejection. If the issues can be fixed with minor adjustments, like resizing an image or correcting text errors, modifying the existing ad might be more efficient. However, if the rejection was due to fundamental issues, such as content that doesn't comply with policies, creating a new ad that adheres to our guidelines from the start could be a better approach. For more details on handling rejected ads, you can check out this article: [My ad got rejected. What's next?](https://help.newsbreak.com/hc/en-us/articles/18085960681101-My-ad-got-rejected-What-s-next).",{}
web,WEBCHAT,2ca58fc0f3c24a4ba4fc2fc16b441cf4,Tatiana ,2025-07-31 23:16:36.782816,im trying to create another pixel and when I hit save ti show invalid action or something like that,{}
bot,WEBCHAT,BOT,BOT,2025-07-31 23:16:47.236618," It sounds like you're encountering an issue when trying to save a new pixel. Could you let me know which platform or tool you're using to set up the pixel? For example, are you using Google Tag Manager (GTM) or another service? This will help me provide more specific guidance.",{}
web,WEBCHAT,2ca58fc0f3c24a4ba4fc2fc16b441cf4,Tatiana ,2025-07-31 23:16:56.203924,gtm,{}
bot,WEBCHAT,BOT,BOT,2025-07-31 23:17:04.985487," Thanks for letting me know you're using Google Tag Manager (GTM). The 'Invalid Operation' error might occur if there's already an event with the same landing page URL or event type saved under your account. Here are a few steps you can try:

1. Check if there's an existing event with the same landing page URL and event type. If so, you might need to use a different URL or event type.
2. Try creating the pixel under a different account if possible.
3. Use the Event Tracking Tool to test and verify while still using existing saved events.

For more detailed instructions, you can refer to this article: [Invalid Operation Error during Pixel or Postback Creation](https://help.newsbreak.com/hc/en-us/articles/502c292eb9f24075b90ee5330d330a28-Invalid-Operation-Error-during-Pixel-or-Postback-Creation).",{}
web,WEBCHAT,2ca58fc0f3c24a4ba4fc2fc16b441cf4,Tatiana ,2025-07-31 23:18:28.099247,how to delete an event?,{}
bot,WEBCHAT,BOT,BOT,2025-07-31 23:18:36.750170," Currently, deleting an event is not allowed due to potential issues with performance and shared account data. If an event is no longer needed, you can add a prefix like 'DO NOT USE' to the event name to avoid confusion. For more details, you can check out this article: [Pixel Deletion](https://help.newsbreak.com/hc/en-us/articles/82cf450c8d66451aa8b615bf982f3ac3-Pixel-Deletion).",{}
web,WEBCHAT,2ca58fc0f3c24a4ba4fc2fc16b441cf4,Tatiana ,2025-08-01 13:54:57.443218,"i had an ad rejected, can I just Edit with a new url with the new page and wait for approval?",{}
