Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-16 00:58:40.798000,,"{""recipient_id"": ""47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-16 00:58:40.808000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-16 00:58:40.818000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Thiago""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""thiagodeangel@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1945099084555804673""}]}"
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-16 00:59:31.991256,hi,{}
bot,WEBCHAT,BOT,BOT,2025-07-16 00:59:39.601502, Hello! How can I assist you today?,{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-16 01:00:00.428592,What do I need for my account to be approved?,{}
bot,WEBCHAT,BOT,BOT,2025-07-16 01:00:09.353259," To get your account approved, you'll need to complete and pass business verification. Additionally, if you're looking to add ad credit, your account or campaign must run and accumulate over $5,000 in spend. Establishing a relationship with an Account Manager can also help in enabling certain functionalities. If you have any questions or need further assistance, feel free to contact our Ad Support team at adsupport@newsbreak.com.",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:07:47.506436,hi,{}
bot,WEBCHAT,BOT,BOT,2025-07-18 00:07:53.563467, Hello! How can I assist you today?,{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:07:56.321614,i need help,{}
bot,WEBCHAT,BOT,BOT,2025-07-18 00:08:03.104137," Sure, I'm here to help! Could you please let me know what specific issue or question you have?",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:08:04.415515,🧹 New Topic,"{""payload"": ""/clear_history""}"
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:08:04.639827,🧹 New Topic,"{""payload"": ""/clear_history""}"
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:08:05.360408,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-07-18 00:08:07.134824,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
bot,WEBCHAT,BOT,BOT,2025-07-18 00:08:07.538529,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
bot,WEBCHAT,BOT,BOT,2025-07-18 00:08:08.398836,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:37:48.639811,Please,{}
bot,WEBCHAT,BOT,BOT,2025-07-18 00:37:57.484221," Hi there! How can I assist you today? If you have any questions or need help, feel free to let me know!",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-18 00:38:14.137938,i dont have Breakdown menu,{}
bot,WEBCHAT,BOT,BOT,2025-07-18 00:38:21.721660, It sounds like you're having trouble finding the Breakdown menu. Could you let me know which platform or service you're using? This will help me provide more specific guidance.,{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-20 03:00:27.995104,redtrack,{}
bot,WEBCHAT,BOT,BOT,2025-07-20 03:00:37.731687," For issues with the Breakdown menu in RedTrack, I recommend checking their specific setup and troubleshooting guides. If you need further assistance, you might want to reach out to RedTrack's support for more detailed help.",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-29 18:47:33.104231,Hi,{}
bot,WEBCHAT,BOT,BOT,2025-07-29 18:47:40.795348, Hello! How can I assist you today?,{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-29 18:48:01.950480,I need a manager for my account,{}
bot,WEBCHAT,BOT,BOT,2025-07-29 18:48:14.219258," Thanks for your interest! At this time, dedicated account management is reserved for advertisers who meet a daily spend threshold of $1,000 or more. If you’re not at that level yet, no worries — our self-serve platform has everything you need to launch and optimize your campaigns successfully. Our support team is also available via chat or email if you need any help. Let us know if you’d like assistance getting started.",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-29 18:49:40.138303,"I'm spending more than $1000 a day, can you help me?",{}
bot,WEBCHAT,BOT,BOT,2025-07-29 18:49:56.721730," Thanks for confirming! To proceed, please upload a media plan, billing statement, or screenshot showing a daily ad spend of $1,000 or more. Once verified, we’ll be happy to assist with your onboarding and connect you with a dedicated account manager. While you wait, you’re welcome to browse our Help Center for answers to frequently asked questions.",{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-29 18:53:40.031737,,"{""image_list"": [{""image"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59/1bd11eb097bd4a11b3ebd7c852147aa6.png"", ""thumbnail"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59/1bd11eb097bd4a11b3ebd7c852147aa6_thumbnail.png"", ""is_ready"": true}, {""image"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59/8ac8c764d4d849c6ab46a11e136ea84d.png"", ""thumbnail"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59/8ac8c764d4d849c6ab46a11e136ea84d_thumbnail.png"", ""is_ready"": true}, {""image"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59/8eed3845d1f04d829fb3dcee68f84830.png"", ""thumbnail"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/47f3a06e-c45d-4bf7-85bd-e3e6c5cf1f59/8eed3845d1f04d829fb3dcee68f84830_thumbnail.png"", ""is_ready"": true}]}"
seachat_sys,WEBCHAT,BOT,BOT,2025-07-29 18:53:49.145522,"It looks like you've shared screenshots from your Ad Manager, and you show that you're spending over $1,000 daily. Please follow the instructions to contact support directly and provide this documentation. They will assist you in securing a dedicated account manager. 

If you need help with anything else in the meantime, feel free to ask!",
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-07-29 18:54:00.419181,Last 3 days,{}
bot,WEBCHAT,BOT,BOT,2025-07-29 18:54:02.446727," To proceed with securing a dedicated account manager, please contact our support team directly at adsupport@newsbreak.com and provide the documentation showing your daily ad spend of $1,000 or more. They'll assist you further with the process. If you need help with anything else, feel free to ask!",{}
bot,WEBCHAT,BOT,BOT,2025-07-29 18:54:13.175899, Could you please provide more details or clarify your question regarding the last 3 days? I'm here to help!,{}
web,WEBCHAT,add2962deadb4dfe872370f055acffa2,Thiago ,2025-08-04 23:10:36.872536,abou rejection ads,{}
bot,WEBCHAT,BOT,BOT,2025-08-04 23:10:46.933868," If your ad got rejected, don't worry! You should receive an email from Ad Support with the subject line ‘Urgent: Ad Rejected - Action Required.’ This email will detail the specific reason for rejection. Make sure to review the reject reason carefully and address that specific issue. For example, if your headline was over the character limit, revise it to 90 characters or less. Once you've made the necessary revisions, resubmit your ad by saving it again. If you believe your ad complies with policies or if there was a misunderstanding, you can appeal by emailing adsupport@newsbreak.com. For more detailed information, check out this article: [My ad got rejected. What's next?](https://help.newsbreak.com/hc/en-us/articles/18085960681101-My-ad-got-rejected-What-s-next)",{}
