Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-01-14 21:31:16.000235,Welcome!,
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:32:04.003794,how do I add a credit card on the file?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:32:09.599613," To add a credit card on file, just follow these steps: 1. Access the Billing Section in your account. 2. Click on 'add payment method.' 3. Provide your credit card information and save it. That’s it! You’re all set to go!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:32:37.119720,can we wire you the funds?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:32:39.845657," Yes, if you're an international advertiser and don't have a credit card, you can wire us funds. Once we confirm the wire, we can add credits to your account. Let me know if you need more details on where to send the wire!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:32:56.246669,"Can you adjust time zone in the platform?
",{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:32:59.276347," Currently, the platform is only set to Pacific Standard Time (PST). However, adjusting across different time zones is on our roadmap for the future. If you have any other questions or need help with something else, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:33:22.916039,how long does it take for an ad to get approved?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:33:28.638892," On average, we review ads within 4 hours on weekdays. On weekends, it can take up to 8 hours. If you have any other questions or need assistance with your ads, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:33:41.788317,can you request a manual review of the ad?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:33:44.730801," Unfortunately, there isn't a direct option to request a manual review of an ad. However, if your ad gets rejected and you believe it meets the guidelines, you can reach out to our support team for further assistance. Let me know if you need help with anything else!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:34:13.525577,do you provide api support for billing?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:34:16.086063," I'm sorry, but I don't have specific information about API support for billing. You might want to reach out to our support team directly for detailed inquiries regarding API functionalities. If there's anything else you need help with, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:34:31.815633,How do I integrate your platform with Redtrack?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:34:35.471916," To integrate our platform with Redtrack, you'll want to follow the API Integration Guide. Start by creating an ad account in our Ad Manager, then request your token by contacting adsupport@newsbreak.com with your Organization ID. If you need more specific steps or run into issues, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:34:52.356783,can you track post back via red track?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:34:55.388833," Yes, you can track postbacks via RedTrack! You'll need to set up a postback in your RedTrack account and then create a web event in our Ad Manager. Make sure to select 'RedTrack' as the 3rd party tracking service. If you need detailed steps, let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:35:17.398743,yes please give me details steps for the previous question,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:35:26.014733," Sure! Here are the detailed steps to track postbacks via RedTrack:
1. **Log in to your RedTrack account** and click on 'Traffic channels.'
2. Click '+ NEW FROM TEMPLATE' and search for NewsBreak. Once you click 'Add,' the NewsBreak Template should open up with the fields populated.
3. Make sure to use the correct s2s URL, which looks like this: `https://business.newsbreak.com/tracking/attribute?callback={ref_id}&event_type={REPLACE}`. Replace `{REPLACE}` with your actual conversion event, like `complete_payment`.
4. After setting that up, head over to your NewsBreak ad account.
5. In the Ad Manager, go to 'Tools' > 'Event Management' > 'Web Events.'
6. Click on 'Create/test web event.' Enter the event name, select your tracking type as ‘Postback,’ choose 'RedTrack' as the 3rd party tracking service, and select your conversion event.
7. Follow any additional instructions provided in our Ad Manager to successfully save your event.
And that's it! If you have any questions or need further assistance, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:36:10.977476,what macros are supported?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:36:14.370144," The supported macros for tracking in our platform include:
- `__CALLBACK_PARAM__` for the callback parameter.
- `__CLICK_ID__` for the unique click ID.
- `__EVENT_TYPE__` to specify the type of event.
Make sure to use these macros correctly in your postback URLs. If you need more details or have specific questions about using them, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:36:42.343944,what verticals are currently working well in your platform?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:36:49.082497," Currently, the verticals that are performing well on our platform include Health & Wellness, Finance, and E-commerce. These categories tend to attract a lot of engagement. If you have a specific vertical in mind or need more insights, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:37:14.774045,what image file types are supported?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:37:17.618686," We support several image file types on our platform, including JPEG, PNG, and GIF. Make sure your images meet the size requirements as well for optimal performance. If you have any other questions or need help with something else, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:37:39.870074,what is the best time of the day to launch a campaign?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:37:46.497347," The best time to launch a campaign typically depends on your target audience. However, many advertisers find that launching campaigns in the early morning or late afternoon during weekdays tends to yield better engagement. It's also a good idea to monitor your campaign performance and adjust based on when your audience is most active. If you need more specific advice or have other questions, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:38:23.847153,my campaigns performance dropped what should I do?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:38:28.311703," If your campaign's performance has dropped, here are a few steps you can take:
1. **Review Targeting**: Check if your audience targeting is still relevant. Sometimes, adjusting your audience can help improve performance.
2. **Analyze Ad Creative**: Look at your ad creatives. Are they still engaging? Consider A/B testing new variations to see what resonates better.
3. **Adjust Bidding Strategy**: If you're using a bidding strategy, consider tweaking it to see if that helps improve results.
4. **Check for External Factors**: Sometimes external factors like seasonality or market changes can impact performance.
5. **Monitor Frequency**: If your ads are being shown too often to the same audience, it might lead to ad fatigue.
6. **Consult Reports**: Use the reporting tools available in our platform to identify specific areas that may need improvement.
If you need more detailed guidance or have specific metrics you'd like to discuss, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:39:26.293741,could you give me steps to add your pixel in Shopify?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:39:33.742481," Absolutely! Here are the steps to add our pixel to your Shopify store:
1. **Log in to your Shopify Admin**: Go to your Shopify account.
2. **Navigate to Online Store**: Click on 'Online Store' in the left sidebar.
3. **Go to Themes**: Under 'Online Store', click on 'Themes'.
4. **Edit Code**: Find the theme you want to edit, click on 'Actions', and then select 'Edit code'.
5. **Add Pixel Code**: Look for the `theme.liquid` file under the 'Layout' section. Open it and paste your pixel code just before the closing `</head>` tag.
6. **Save Changes**: After pasting the code, make sure to save your changes.
7. **Test Your Pixel**: Use a tool like Facebook's Pixel Helper or similar tools to ensure that your pixel is firing correctly on your site.
And that's it! If you have any questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:40:08.542842,"Auto insurance is performing well, going to start scaling it. Any tips for increasing budgets and maintaining full spend everyday?",{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:40:20.862901," That's great to hear that your auto insurance campaigns are performing well! Here are some tips for scaling your budgets while maintaining full spend:
1. **Gradual Budget Increases**: Increase your budget gradually (e.g., 20-30% at a time) to avoid sudden drops in performance.
2. **Monitor Performance Metrics**: Keep an eye on key metrics like CPA (Cost Per Acquisition) and ROAS (Return on Ad Spend). Adjust budgets based on performance.
3. **Expand Targeting**: Consider broadening your audience targeting or adding new segments to reach more potential customers.
4. **Optimize Ad Creatives**: Regularly refresh your ad creatives to keep them engaging and relevant, which can help maintain high click-through rates.
5. **Utilize Dayparting**: If you notice certain times of the day perform better, allocate more budget during those peak times.
6. **Test New Channels**: If you're primarily focused on one channel, consider testing additional channels or placements to diversify traffic sources.
7. **Set Up Automated Rules**: Use automated rules in your ad platform to adjust budgets based on performance thresholds automatically.
If you need more specific strategies or have other questions, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:40:43.446460,want to start another leadgen product. what do you recommend for NB traffic?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:40:49.251233," For a lead generation product on NewsBreak traffic, I recommend focusing on the following strategies:
1. **Targeted Audience Segmentation**: Make sure to define your target audience clearly. Use demographic and interest-based targeting to reach potential leads effectively.
2. **Engaging Ad Creatives**: Create eye-catching and informative ad creatives that highlight the benefits of your lead gen product. Use strong calls-to-action (CTAs) to encourage sign-ups.
3. **Landing Page Optimization**: Ensure your landing page is optimized for conversions. It should load quickly, be mobile-friendly, and have a clear value proposition.
4. **Utilize Lead Magnets**: Offer something valuable in exchange for contact information, like an eBook, free trial, or exclusive content.
5. **A/B Testing**: Test different ad formats and messaging to see what resonates best with your audience.
6. **Retargeting Campaigns**: Set up retargeting campaigns for users who interacted with your ads but didn’t convert initially.
7. **Monitor Performance Closely**: Keep an eye on your campaign metrics and adjust strategies based on what’s working best.
If you need more specific recommendations or have questions about implementation, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-14 21:50:01.740530,how do I test a post back with ClickBank?,{}
bot,WEBCHAT,BOT,BOT,2025-01-14 21:50:06.410486," To test a postback with ClickBank, follow these steps:
1. **Set Up Your Postback URL**: First, ensure you have your postback URL configured correctly in your ClickBank account. It should include the necessary macros for tracking.
2. **Access Your ClickBank Account**: Log in to your ClickBank account and navigate to the 'Account Settings' section.
3. **Find Postback Settings**: Look for the 'Postback' settings where you can enter your postback URL.
4. **Use a Testing Tool**: You can use tools like Postman or any HTTP request testing tool to send a test request to your postback URL with sample data.
5. **Check Response**: After sending the test request, check if you receive a successful response from your server or tracking platform.
6. **Verify Data in Your Tracking Platform**: Finally, log into your tracking platform (like NewsBreak) and verify that the conversion data is being recorded correctly based on the test you performed.
If you encounter any issues or need further assistance, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:34:10.428042,how long does it take for an ad to get approved?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:34:13.382574," The ad approval process usually takes between 1-2 business days, but sometimes it can be even quicker thanks to our awesome Ad Ops team!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:35:14.896866,what are the top verticals on news break?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:35:20.175775," I'm not sure about the specific top verticals on News Break, but they typically include categories like local news, entertainment, sports, and lifestyle. If you have a particular interest in mind, let me know and I can help you find more info!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:35:48.045171,what ad types do well in newsbreak?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:35:50.767783," On News Break, ad types that tend to perform well include native ads, video ads, and display ads. These formats are engaging and fit seamlessly into the user experience. If you want more details on specific placements or strategies, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:36:15.434302,what products do well on newsbreak?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:36:17.864672," While I don't have specific product data, generally, products related to local services, entertainment, and lifestyle tend to perform well on News Break. If you have a particular category in mind, I can help you find more targeted information!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:38:08.300506,what are the reasons for my ads rejection?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:38:12.844274," Ads can be rejected for various reasons, such as not adhering to advertising policies, typographical errors, or issues with conversion tracking. You'll receive specific details about the rejection via email from Ad Support. If you want to avoid future rejections, it's a good idea to familiarize yourself with NewsBreak's ad policies before submitting your ads!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:41:12.430558,can I talk to a human?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:41:15.953917," I totally understand! If you need to speak with a human, you can reach out to our support team at support@newsbreak.com. They’ll be happy to assist you further!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:48:11.030955,can I do a guest post?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:48:14.802062," Currently, News Break doesn't have a guest posting option. However, if you have content ideas or want to collaborate, you might consider reaching out to our support team for more information on potential opportunities!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-15 23:53:27.350505,how do I get an api token?,{}
bot,WEBCHAT,BOT,BOT,2025-01-15 23:53:32.885208," To get an API token, you'll need to create an ad account in our Ad Manager first. After that, submit a request for your token by clicking 'Help' on the left side of your screen or by emailing adsupport@newsbreak.com. Make sure to include your Organization ID in the request!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-16 00:31:39.969086,how do I integrate red track with newsbreak for a post back?,{}
bot,WEBCHAT,BOT,BOT,2025-01-16 00:31:43.504632," To integrate RedTrack with NewsBreak for a postback, follow these steps: 
1. In your NewsBreak ad account, go to the Event Management section. 
2. Click on 'Create/test web event.' 
3. Enter the event name and select 'Postback' as your tracking type. 
4. Choose 'RedTrack' as the 3rd party tracking service and select your conversion event. 
5. Follow the instructions in our Ad Manager to save your event successfully.
If you need more details, check out our help article on setting up a RedTrack postback!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-16 00:32:29.575332,what are the instructions to integrate a post back for red track on news break?,{}
bot,WEBCHAT,BOT,BOT,2025-01-16 00:32:34.996387," Here are the instructions to integrate a postback for RedTrack on NewsBreak:
1. Log in to your RedTrack account and click on 'Traffic channels.'
2. Click '+ NEW FROM TEMPLATE' and search for NewsBreak.
3. Once you click 'Add,' the NewsBreak Template should open with the fields populated.
4. Use the following s2s URL: https://business.newsbreak.com/tracking/attribute?callback={ref_id}&event_type={REPLACE}. Replace {REPLACE} with your actual conversion event, like complete_payment.
5. Finally, head over to your NewsBreak ad account, go to Event Management, and select 'Create/test web event.' Enter the event name, choose 'Postback,' select 'RedTrack' as the tracking service, and follow the instructions to save your event.
For more details, you can refer to our help article on setting up a RedTrack postback!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-16 20:00:40.596972,How is medicare running on NB right now. Can you share it's benchmarks too and creative type that's working for it. ,{}
bot,WEBCHAT,BOT,BOT,2025-01-16 20:00:46.564707," I don't have specific benchmarks for Medicare campaigns on News Break right now, but generally, broad native-style images and horizontal videos tend to perform well. It's also a good idea to test different ad creatives to see what resonates best with your audience. If you want more detailed strategies or insights, I recommend checking out our tCPA Best Practices guide for advanced strategies on maximizing ad performance. Let me know if you need help with anything else!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-16 23:10:49.945407,"Hi. I just submitted a campaign for approval. It was rejected and says that the landing page doesn't have terms and conditions.
I have a tab called ""guarantee"" where the terms and conditions are inclu",{}
bot,WEBCHAT,BOT,BOT,2025-01-16 23:10:53.118304," Hey there! It sounds like your campaign got flagged because the terms and conditions need to be easily accessible. Even if they're in a tab called ""guarantee,"" it's best to have a dedicated link for terms and conditions that’s clearly visible on the landing page. Try adding a direct link to the terms and conditions in the footer or somewhere prominent on your page. Once you make those changes, resubmit your campaign for approval. If you need more help, just let me know!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 20:20:40.142935,my spend does not look accurate for today,{}
bot,WEBCHAT,BOT,BOT,2025-01-21 20:20:50.720422," Hey there! If your spend doesn't look accurate, it could be due to a few reasons. First, check if your campaign is still in the learning phase, as this can cause fluctuations. Also, make sure to verify the launch date and budget settings in your ad set. If everything seems fine but the issue persists, you might want to reach out to our support team for further assistance. Let me know if you need help with anything else!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 21:54:10.024214,could you give me steps to integrate a news break post back with Voluum?,{}
bot,WEBCHAT,BOT,BOT,2025-01-21 21:54:14.916237," Sure! To integrate a NewsBreak postback with Voluum, you can follow these steps:
1. **Log into your Voluum account** and navigate to the 'Traffic Sources' section.
2. **Add a new traffic source** and select 'Custom' as the type.
3. In the settings, you'll need to enter the postback URL provided by NewsBreak. This usually looks something like this: `https://your_postback_url?clickid={clickid}&status={status}`.
4. Make sure to replace placeholders with actual parameters that NewsBreak uses for tracking.
5. Save your settings and test the integration to ensure everything is working correctly.
If you run into any issues or need more detailed instructions, feel free to reach out! You can also check out our API Integration Guide for more info.",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 22:02:30.655833,could you give me steps to integrate a news break post back with Voluum?,{}
bot,WEBCHAT,BOT,BOT,2025-01-21 22:02:35.805853," Absolutely! Here are the steps to integrate a NewsBreak postback with Voluum:
1. **Log into your Voluum account** and go to the 'Traffic Sources' section.
2. Click on **'Create Traffic Source'** and select 'NewsBreak' from the list.
3. In the settings, you’ll need to fill in the required fields, including the **Traffic Source Postback URL**. This URL is generated in your NewsBreak account.
4. To get your NewsBreak Postback URL, go to **Event Management** in your NewsBreak account, create a new event, and select Postback as the type.
5. After setting up your event, copy the generated Postback URL and paste it into Voluum's Traffic Source settings.
6. Make sure to test your integration by using the Test Postback feature in NewsBreak Event Manager to ensure everything is working correctly.
For more detailed instructions, you can check out this article: [How to set up a Voluum Postback on NewsBreak](https://help.newsbreak.com/hc/en-us/articles/24825901083277-How-to-set-up-a-Voluum-Postback-on-NewsBreak). Let me know if you need any more help!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 22:03:08.599001,how do I integrate red track post back with news break?,{}
bot,WEBCHAT,BOT,BOT,2025-01-21 22:03:14.423404," To integrate a RedTrack postback with NewsBreak, follow these steps:
1. **Log into your RedTrack account** and navigate to the 'Traffic Sources' section.
2. Click on **'Add Traffic Source'** and select 'Custom'.
3. In the settings, enter the required details for NewsBreak, including the Postback URL that you will get from your NewsBreak account.
4. To obtain your NewsBreak Postback URL, go to **Event Management** in your NewsBreak account and create a new event, selecting Postback as the type.
5. After setting up your event, copy the generated Postback URL and paste it into RedTrack's Traffic Source settings.
6. Make sure to test the integration by using the Test Postback feature in NewsBreak Event Manager to confirm everything is working properly.
If you need more detailed guidance, feel free to ask! You can also refer to this article for additional help: [How to set up a RedTrack Postback on NewsBreak](https://help.newsbreak.com/hc/en-us/articles/24825901083277-How-to-set-up-a-RedTrack-Postback-on-NewsBreak).",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 22:03:58.052495,steps to get an api token?,{}
bot,WEBCHAT,BOT,BOT,2025-01-21 22:04:04.204226," To get an API token, follow these steps:
1. **Log into your NewsBreak account**.
2. Navigate to the **API section** in your account settings or dashboard.
3. Look for an option that says **'Generate API Token'** or similar.
4. Click on it, and you may need to provide some information or confirm your request.
5. Once generated, make sure to copy and store your API token securely, as you will need it for authentication in your API requests.
If you have any trouble finding the API section or generating the token, let me know! I’m here to help.",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 22:04:29.464352,which map partners are you integrated with?,{}
bot,WEBCHAT,BOT,BOT,2025-01-21 22:04:32.415363," We are integrated with several map partners to enhance our services. Some of the key partners include Google Maps, Mapbox, and OpenStreetMap. These integrations help us provide accurate location data and improve user experience. If you have a specific partner in mind or need more details, feel free to ask!",{}
web,WEBCHAT,f33f94e2129e455bbbd7458a926616b9,az ,2025-01-21 22:04:52.221766,which mmp partners are you integrated with?,{}
