Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-26 00:21:21.762671,,"{""recipient_id"": ""d6157b44-2a29-4ff2-befa-c8ea40d4a29d"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Phone"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-phone.svg"", ""is_required"": false, ""entity_name"": ""_PHONE""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-26 00:21:22.255818,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,c46c356423a544ea86890190d82fa42d,azha ,2025-02-26 00:21:27.544442,I need help,{}
bot,WEBCHAT,BOT,BOT,2025-02-26 00:21:39.262236, Hey there! I'm here to help. What do you need assistance with? Just let me know!,{}
web,WEBCHAT,c46c356423a544ea86890190d82fa42d,azha ,2025-02-26 00:21:52.152277,I need help with shopify,{}
bot,WEBCHAT,BOT,BOT,2025-02-26 00:22:20.894913," Got it! Can you tell me specifically what you need help with in Shopify? Are you having issues with setting up your store, managing products, or something else?",{}
web,WEBCHAT,c46c356423a544ea86890190d82fa42d,azha ,2025-02-26 00:23:45.079927,I am having tracking issues with shopify,{}
bot,WEBCHAT,BOT,BOT,2025-02-26 00:24:06.963591," Thanks for the info! Are you trying to set up a NewsBreak Pixel on Shopify, or is it related to another tracking service? Let me know so I can guide you better!",{}
web,WEBCHAT,c46c356423a544ea86890190d82fa42d,azha ,2025-02-26 00:25:28.945613,Hi I need help,{}
bot,WEBCHAT,BOT,BOT,2025-02-26 00:25:33.779677, Hi there! I'm here to help. What do you need assistance with? Just let me know!,{}
web,WEBCHAT,c46c356423a544ea86890190d82fa42d,azha ,2025-02-26 19:59:48.004280,Is there an agent to help,{}
bot,WEBCHAT,BOT,BOT,2025-02-26 19:59:57.946345," I can assist you with your issue. If you need further help, I can also arrange for an email to be sent to our support team. What exactly do you need assistance with?",{}
web,WEBCHAT,c46c356423a544ea86890190d82fa42d,azha ,2025-02-26 20:02:05.255224,I need help with my event tracking,{}
bot,WEBCHAT,BOT,BOT,2025-02-26 20:02:12.407253," Sure, I can help with that! What tracking platform are you using for your event tracking (e.g., RedTrack, Voluum)? This will help me provide more specific guidance.",{}
