Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-14 21:11:23.307529,,"{""recipient_id"": ""60d34e8a-c10e-4508-a101-869aec033e3f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-14 21:11:23.870315,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-05-14 21:11:23.972067,,"{""recipient_id"": ""60d34e8a-c10e-4508-a101-869aec033e3f"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,7b7d882436e94a36a4d23ad74dd471da,ry ,2025-05-14 21:11:28.851712,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""ry""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""ryan.ludlow@newsbreak.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1734681517807071233""}]}"
web,WEBCHAT,7b7d882436e94a36a4d23ad74dd471da,ry ,2025-05-14 21:11:40.940385,how do i change language to spanish?,{}
bot,WEBCHAT,BOT,BOT,2025-05-14 21:11:47.268925," Currently, you cannot change the language to any other than English on NewsBreak. If you have any other questions, feel free to ask!",{}
web,WEBCHAT,7b7d882436e94a36a4d23ad74dd471da,ry ,2025-05-14 21:12:48.539204,nice!,{}
bot,WEBCHAT,BOT,BOT,2025-05-14 21:12:55.139175," Glad you think so! If there's anything else you need, just let me know.",{}
web,WEBCHAT,7b7d882436e94a36a4d23ad74dd471da,ry ,2025-05-14 21:14:33.306866,"Hi there im looking to integrate the newsbreak pixel with Shopify.

I've followed the instructions on the article, installed the pixel in my header of my store and created the customer event.

I've put through a test purchase and cannot get past the pixel test screen.

While running the shopify pixel test, it shows the pixel is opn all of my pages.

Please help. Thanks!",{}
bot,WEBCHAT,BOT,BOT,2025-05-14 21:14:56.865177," It sounds like you've done a great job setting up the pixel so far! Let's troubleshoot this together. First, ensure that the custom event is correctly configured in Shopify and that it fires during the test purchase. You can use Shopify's 'Test' feature to verify if the event triggers correctly.
If the pixel is showing on all pages but not firing for the test purchase, double-check that the custom pixel code is placed on the event page where the user action takes place (e.g., checkout completed).
If you've verified these steps and it's still not working, you might want to reach out to adsupport@newsbreak.com with details of your setup for further assistance.
For more detailed instructions, you can refer to this article: [How to install a NewsBreak Pixel on Shopify](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify).",{}
