Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-21 14:25:29.692125,,"{""recipient_id"": ""02a5991b-e041-4840-be9d-19d9ddba6df5"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-21 14:25:30.216401,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-21 14:25:32.925181,,"{""recipient_id"": ""02a5991b-e041-4840-be9d-19d9ddba6df5"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,b92f6ca0031e4e7ba9567c08c8d64ebc,sid ,2025-04-21 14:25:42.970993,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""sid""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""aff.sid17@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1911888510839218178""}]}"
web,WEBCHAT,b92f6ca0031e4e7ba9567c08c8d64ebc,sid ,2025-04-21 14:26:26.484746,hi,{}
bot,WEBCHAT,BOT,BOT,2025-04-21 14:26:34.182845, Hello! How can I assist you today?,{}
web,WEBCHAT,b92f6ca0031e4e7ba9567c08c8d64ebc,sid ,2025-04-21 14:27:11.829010,i am not able to add card,{}
bot,WEBCHAT,BOT,BOT,2025-04-21 14:27:18.581463," I'm sorry to hear that you're having trouble adding your card. Could you please provide more details about the issue? For example, are you receiving any error messages?",{}
web,WEBCHAT,b92f6ca0031e4e7ba9567c08c8d64ebc,sid ,2025-04-21 14:27:41.380452,showing card authorisation failed,{}
bot,WEBCHAT,BOT,BOT,2025-04-21 14:27:49.196224," It sounds like there might be an issue with the card authorization. Please make sure that your card details are correct and that your card has sufficient funds for the authorization fee. If the problem persists, I recommend contacting our support team at adsupport@newsbreak.com for further assistance.",{}
