Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-07 03:44:47.684000,,"{""recipient_id"": ""3b6dba02-1977-45f9-887d-6d40989eeba2"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-07 03:44:47.694000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,1bed6ce19f694a128dfe7510514cc7ef,sonny ,2025-08-07 03:44:47.704000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""sonny""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""sonny@ninacreativedesigns.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1951579434222878722""}]}"
web,WEBCHAT,1bed6ce19f694a128dfe7510514cc7ef,sonny ,2025-08-07 03:45:19.487886,I need help accessing my ad link,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 03:45:33.424530," Could you please provide more details about the issue you're facing with accessing your ad link? Are you having trouble finding it, or is there an error when you try to access it?",{}
web,WEBCHAT,1bed6ce19f694a128dfe7510514cc7ef,sonny ,2025-08-07 03:45:58.882684,having trouble finding it,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 03:46:10.188878," No worries! To locate your ad link, you can log into the Ad Manager and click on the dropdown menu. From there, select the ad account you wish to view. If you need more detailed instructions, check out this article: [How to create separate ad accounts](https://help.newsbreak.com/hc/en-us/articles/20333724725133-How-to-create-separate-ad-accounts). Let me know if you need further assistance!",{}
web,WEBCHAT,1bed6ce19f694a128dfe7510514cc7ef,sonny ,2025-08-07 03:48:30.815288,need help,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 03:48:39.215859," I'm here to help! Could you please let me know what specific issue you're facing or what you need assistance with? This way, I can provide you with the best possible support.",{}
web,WEBCHAT,1bed6ce19f694a128dfe7510514cc7ef,sonny ,2025-08-07 03:48:55.699164,chat with live person,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 03:49:03.955572," I'm here to assist you with whatever you need! Please let me know your question or issue, and I'll do my best to help you right away.",{}
web,WEBCHAT,1bed6ce19f694a128dfe7510514cc7ef,sonny ,2025-08-07 03:49:26.406758,customer support,{}
bot,WEBCHAT,BOT,BOT,2025-08-07 03:49:37.988578," If you need further assistance, you can reach out to our support team at adsupport@newsbreak.com. Feel free to let me know if there's anything specific you'd like help with here!",{}
