Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-26 00:02:06.449000,,"{""recipient_id"": ""b4d4e7c2-76c7-4fcc-a180-b6a549efb140"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-26 00:02:06.459000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-26 00:02:06.469000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""test+azhar""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""testazhar@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1823787547283427329""}]}"
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-26 00:02:14.129062,pixel help,{}
bot,WEBCHAT,BOT,BOT,2025-07-26 00:02:21.692396," Sure, I can help with that! Could you please let me know which platform or service you're using for the pixel integration? This will help me provide you with the most accurate guidance.",{}
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-26 00:02:26.135454,GTM,{}
bot,WEBCHAT,BOT,BOT,2025-07-26 00:02:35.688393," Great! For integrating the NewsBreak Pixel with Google Tag Manager (GTM), you can follow these steps:

1. Log into your NewsBreak account and navigate to Tools > Ad Manager > Event Management.
2. Choose Pixel as your tracking type and select GTM as the integration method.
3. Specify your event type and turn on Event value if applicable.
4. Copy the generated base code from Step 1.
5. In GTM, create a new tag and paste the copied base code into it.
6. Set up triggers for the events you want to track.
7. Save and publish your changes in GTM.

For more detailed instructions, please refer to this article: [How to install a NewsBreak Pixel with GTM](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify). Let me know if you need further assistance!",{}
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-26 00:02:52.549983,Thank you for your feedback. You can click the close icon below to close this widget.,"{""form_id"": ""cf69400b93794252b3a8edeb197d0bfa"", ""hidden_reply"": false, ""intent_name"": ""_csat_form_submit"", ""rating"": 4, ""comment"": ""save this feedback""}"
bot,WEBCHAT,BOT,BOT,2025-07-26 00:03:03.357658, Thanks for contacting us and we want to hear from you!,{}
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-30 20:56:55.858718,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-07-30 20:56:58.334087,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-30 20:57:04.892112,postback help,{}
bot,WEBCHAT,BOT,BOT,2025-07-30 20:57:18.651889," Sure, I can help with postback integration! Could you please let me know which platform you're using for the postback? This will help me provide you with the most accurate instructions.",{}
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-30 21:12:47.965886,redtrack,{}
bot,WEBCHAT,BOT,BOT,2025-07-30 21:12:56.275220," Great! For setting up a RedTrack postback on NewsBreak, you can follow the instructions in this article: [How to set up a RedTrack Postback on NewsBreak](https://help.newsbreak.com/hc/en-us/articles/24825901083277-How-to-set-up-a-RedTrack-Postback-on-NewsBreak). If you have any specific questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,c83725f81d9f487abcc5ed6aedfdc31c,test+azhar ,2025-07-30 21:13:23.056921,Thank you for your feedback. You can click the close icon below to close this widget.,"{""form_id"": ""cf69400b93794252b3a8edeb197d0bfa"", ""hidden_reply"": false, ""intent_name"": ""_csat_form_submit"", ""rating"": 4, ""comment"": ""test""}"
bot,WEBCHAT,BOT,BOT,2025-07-30 21:13:33.807644, Thanks for contacting us and we want to hear from you!,{}
