Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-02 01:45:44.593021,,"{""recipient_id"": ""5a30a79e-269b-4231-9b67-c1a9185788f2"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-02 01:45:45.110258,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-02 01:45:47.881117,,"{""recipient_id"": ""5a30a79e-269b-4231-9b67-c1a9185788f2"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,4fd79f87fdec4a17a7959f26b2c06d23,wxn ,2025-04-02 01:49:47.443386,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""wxn""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""oq28nm84@outlook.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1902273524362747906""}]}"
web,WEBCHAT,4fd79f87fdec4a17a7959f26b2c06d23,wxn ,2025-04-02 01:52:32.047525,What's the issue with my account not being charged?,{}
bot,WEBCHAT,BOT,BOT,2025-04-02 01:52:37.256275," There could be a few reasons why your account is not being charged. It might be due to an issue with your payment method or a problem on our end. I recommend checking out our Billing Guide for more details: [Billing Guide](https://help.newsbreak.com/hc/en-us/articles/17821681919757-Billing-Guide). If you still need help, please let me know!",{}
web,WEBCHAT,4fd79f87fdec4a17a7959f26b2c06d23,wxn ,2025-04-02 01:53:44.927220,I still need help.,{}
bot,WEBCHAT,BOT,BOT,2025-04-02 01:53:49.826458, No problem! I'll send an email to our support team to assist you further. Please allow 2-3 days for them to investigate and get back to you.,{}
web,WEBCHAT,4fd79f87fdec4a17a7959f26b2c06d23,wxn ,2025-04-02 01:58:37.881084,My campaign [1905192932408545281] does not spend.,{}
bot,WEBCHAT,BOT,BOT,2025-04-02 01:58:44.048456," Let's figure out why your campaign isn't spending. Could you please provide more details? For example, is this a new account or an existing one? Also, have you checked if your daily budget and bid rate are set correctly?",{}
web,WEBCHAT,4fd79f87fdec4a17a7959f26b2c06d23,wxn ,2025-04-02 01:59:55.843655,This is an existing account.,{}
bot,WEBCHAT,BOT,BOT,2025-04-02 02:00:02.500947," Thanks for the information. Here are a few things you can check to troubleshoot why your campaign isn't spending:
1. **Launch Date**: Ensure that the launch date at the ad set level is correct. Sometimes, campaigns are set to start at a later time due to Ad Manager being in PST/military time.
2. **Budget Adjustments**: During the learning phase, avoid making too many changes as it can cause fluctuations in performance. It's recommended to increase your budget no more than 50% every 2-3 days.
3. **Bid Rate**: Make sure your bid rate is competitive enough using our bid estimation tool.
For more detailed guidance, you can refer to our [tCPA Best Practices](https://help.newsbreak.com/hc/en-us/articles/18020232662797-tCPA-Best-Practices).
If you've checked all these and still face issues, please let me know!",{}
